iter	Passed	Remaining
0	0	757
1	1	558
2	1	486
3	1	447
4	2	424
5	2	410
6	2	399
7	3	393
8	3	386
9	3	380
10	4	377
11	4	372
12	4	368
13	5	365
14	5	363
15	5	361
16	6	382
17	6	379
18	7	375
19	7	385
20	8	394
21	9	400
22	9	397
23	9	400
24	10	404
25	11	429
26	11	425
27	12	422
28	12	416
29	12	413
30	13	415
31	13	412
32	14	410
33	14	407
34	14	404
35	15	402
36	15	400
37	15	398
38	16	396
39	16	392
40	16	391
41	17	389
42	17	387
43	17	385
44	18	383
45	18	382
46	18	380
47	19	378
48	19	377
49	19	375
50	20	375
51	20	376
52	21	375
53	21	374
54	21	372
55	22	371
56	22	370
57	22	368
58	22	365
59	23	364
60	23	363
61	24	365
62	24	364
63	24	363
64	25	362
65	25	363
66	26	364
67	26	367
68	27	366
69	27	365
70	27	364
71	28	363
72	28	362
73	28	361
74	29	360
75	30	366
76	30	364
77	31	366
78	31	365
79	31	364
80	32	363
81	32	362
82	32	361
83	33	360
84	33	359
85	33	358
86	34	357
87	34	356
88	34	355
89	35	355
90	35	355
91	35	354
92	36	353
93	36	353
94	37	353
95	37	352
96	37	351
97	37	349
98	38	351
99	39	351
100	39	350
101	39	349
102	40	348
103	40	347
104	40	346
105	41	346
106	41	346
107	41	345
108	42	345
109	42	345
110	43	344
111	43	343
112	43	343
113	44	342
114	44	341
115	44	340
116	45	340
117	45	339
118	45	339
119	46	338
120	46	338
121	46	337
122	47	337
123	47	337
124	48	336
125	48	335
126	48	335
127	49	334
128	49	333
129	49	332
130	50	332
131	50	331
132	50	331
133	51	331
134	51	330
135	51	329
136	52	329
137	52	328
138	52	327
139	53	327
140	53	326
141	53	326
142	54	325
143	54	324
144	54	324
145	55	323
146	55	323
147	56	322
148	56	321
149	56	321
150	57	320
151	57	320
152	57	319
153	58	319
154	58	318
155	58	317
156	58	316
157	59	316
158	59	315
159	60	315
160	60	314
161	60	315
162	61	314
163	61	314
164	61	313
165	62	313
166	62	312
167	63	312
168	63	311
169	63	311
170	64	311
171	64	310
172	64	310
173	65	309
174	65	309
175	65	308
176	66	308
177	66	307
178	66	307
179	67	306
180	67	306
181	68	305
182	68	305
183	68	304
184	69	304
185	69	303
186	69	303
